tourist_id,n_visits,restricted_entries,alternation_count,alternation_ratio,most_common_bigram_freq,unique_bigram_ratio,is_suspicious_ground_truth,is_flagged_pattern,anomaly_score
T00001,12,0,0,0.0,1,1.0,False,False,0.2035
T00002,13,0,0,0.0,1,1.0,False,False,0.2241
T00003,15,0,0,0.0,2,0.929,False,False,0.0177
T00004,14,0,0,0.0,1,1.0,False,False,0.2229
T00005,13,0,0,0.0,1,1.0,False,False,0.2241
T00006,10,0,0,0.0,1,1.0,False,False,0.1132
T00007,12,0,0,0.0,1,1.0,False,False,0.2035
T00008,12,0,0,0.0,1,1.0,False,False,0.2035
T00009,10,0,0,0.0,1,1.0,False,False,0.1132
T00010,12,2,3,0.273,1,1.0,True,True,-0.1009
T00011,14,0,0,0.0,1,1.0,False,False,0.2229
T00012,15,0,0,0.0,1,1.0,False,False,0.2054
T00013,16,0,0,0.0,1,1.0,False,False,0.1859
T00014,14,0,0,0.0,1,1.0,False,False,0.2229
T00015,18,0,0,0.0,1,1.0,False,False,0.0258
T00016,14,0,0,0.0,1,1.0,False,False,0.2229
T00017,15,0,0,0.0,1,1.0,False,False,0.2054
T00018,15,0,0,0.0,1,1.0,False,False,0.2054
T00019,14,0,0,0.0,1,1.0,False,False,0.2229
T00020,11,0,0,0.0,1,1.0,False,False,0.1749
T00021,14,0,0,0.0,1,1.0,False,False,0.2229
T00022,18,0,0,0.0,2,0.941,False,True,-0.0831
T00023,14,0,0,0.0,1,1.0,False,False,0.2229
T00024,17,0,0,0.0,1,1.0,False,False,0.1213
T00025,14,0,0,0.0,1,1.0,False,False,0.2229
T00026,14,0,0,0.0,2,0.923,False,False,0.0063
T00027,16,0,0,0.0,2,0.933,False,True,-0.0075
T00028,16,0,0,0.0,1,1.0,False,False,0.1859
T00029,17,0,0,0.0,1,1.0,False,False,0.1213
T00030,13,0,0,0.0,1,1.0,False,False,0.2241
T00031,14,0,0,0.0,1,1.0,False,False,0.2229
T00032,12,0,0,0.0,1,1.0,False,False,0.2035
T00033,13,0,0,0.0,1,1.0,False,False,0.2241
T00034,14,0,0,0.0,1,1.0,False,False,0.2229
T00035,13,0,0,0.0,1,1.0,False,False,0.2241
T00036,14,0,0,0.0,1,1.0,False,False,0.2229
T00037,14,0,0,0.0,1,1.0,False,False,0.2229
T00038,16,0,0,0.0,1,1.0,False,False,0.1859
T00039,13,0,0,0.0,1,1.0,False,False,0.2241
T00040,13,2,3,0.25,1,1.0,True,True,-0.1034
T00041,16,0,0,0.0,1,1.0,False,False,0.1859
T00042,13,0,0,0.0,1,1.0,False,False,0.2241
T00043,14,0,0,0.0,1,1.0,False,False,0.2229
T00044,14,1,2,0.154,1,1.0,True,True,-0.0576
T00045,13,1,1,0.083,1,1.0,True,True,-0.0497
T00046,11,0,0,0.0,1,1.0,False,False,0.1749
T00047,17,0,0,0.0,1,1.0,False,False,0.1213
T00048,15,0,0,0.0,2,0.929,False,False,0.0177
T00049,14,0,0,0.0,1,1.0,False,False,0.2229
T00050,14,0,0,0.0,1,1.0,False,False,0.2229
T00051,13,0,0,0.0,2,0.917,False,False,0.0
T00052,15,0,0,0.0,1,1.0,False,False,0.2054
T00053,15,0,0,0.0,1,1.0,False,False,0.2054
T00054,13,0,0,0.0,1,1.0,False,False,0.2241
T00055,14,0,0,0.0,1,1.0,False,False,0.2229
T00056,16,0,0,0.0,1,1.0,False,False,0.1859
T00057,12,0,0,0.0,1,1.0,False,False,0.2035
T00058,11,0,0,0.0,1,1.0,False,False,0.1749
T00059,13,0,0,0.0,1,1.0,False,False,0.2241
T00060,14,0,0,0.0,1,1.0,False,False,0.2229
T00061,13,0,0,0.0,1,1.0,False,False,0.2241
T00062,13,0,0,0.0,1,1.0,False,False,0.2241
T00063,11,0,0,0.0,1,1.0,False,False,0.1749
T00064,14,0,0,0.0,1,1.0,False,False,0.2229
T00065,12,0,0,0.0,1,1.0,False,False,0.2035
T00066,14,0,0,0.0,1,1.0,False,False,0.2229
T00067,13,0,0,0.0,2,0.917,False,False,0.0
T00068,15,0,0,0.0,1,1.0,False,False,0.2054
T00069,11,0,0,0.0,1,1.0,False,False,0.1749
T00070,12,0,0,0.0,1,1.0,False,False,0.2035
T00071,12,0,0,0.0,1,1.0,False,False,0.2035
T00072,13,0,0,0.0,1,1.0,False,False,0.2241
T00073,15,0,0,0.0,1,1.0,False,False,0.2054
T00074,14,0,0,0.0,1,1.0,False,False,0.2229
T00075,18,0,0,0.0,1,1.0,False,False,0.0258
T00076,13,0,0,0.0,1,1.0,False,False,0.2241
T00077,13,0,0,0.0,1,1.0,False,False,0.2241
T00078,15,0,0,0.0,1,1.0,False,False,0.2054
T00079,13,0,0,0.0,1,1.0,False,False,0.2241
T00080,13,0,0,0.0,1,1.0,False,False,0.2241
T00081,16,0,0,0.0,1,1.0,False,False,0.1859
