place_id,name,predicted_label,top_reasons
P001,Ooty Town Centre,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P002,Ooty Lake,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P003,Government Botanical Garden,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P004,Doddabetta Peak,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P005,Government Rose Garden,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P006,Wax World Museum,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P007,Tea Factory and Museum,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P008,Pykara Falls,Safe,type waterfall (increased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P009,Pykara Lake,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P010,Pykara Dam,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P011,Avalanche Lake,Dangerous,Restricted zone (increased risk); Crowd density (increased risk); Crime score (increased risk)
P012,Emerald Lake,Dangerous,Restricted zone (increased risk); Crowd density (increased risk); Crime score (increased risk)
P013,Sim's Park,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P014,Dolphin's Nose,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P015,Lamb's Rock,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P016,Catherine Falls Coonoor side,Safe,type waterfall (increased risk); Crime score (increased risk); Crowd density (decreased risk)
P017,Kateri Falls,Dangerous,type waterfall (increased risk); Crime score (increased risk); Restricted zone (decreased risk)
P018,Kodanad Viewpoint,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P019,Longwood Shola,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P020,Rangaswamy Peak,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P021,Elk Falls,Dangerous,type waterfall (increased risk); Crime score (increased risk); Crowd density (decreased risk)
P022,Theppakadu Reception Centre,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P023,Mudumalai Core Safari Zone,Dangerous,Restricted zone (increased risk); Crowd density (increased risk); Crime score (increased risk)
P024,Masinagudi Town,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P025,Mukurthi National Park,Dangerous,Restricted zone (increased risk); Crowd density (increased risk); Crime score (increased risk)
P026,Upper Bhavani Lake,Dangerous,Restricted zone (increased risk); Crowd density (increased risk); Crime score (increased risk)
P027,Gudalur Town,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P028,Bellikkal,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P029,Kalhatty Falls,Safe,type waterfall (increased risk); Crime score (increased risk); Crowd density (decreased risk)
P030,Bison Valley,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P031,Law's Falls,Dangerous,type waterfall (increased risk); Crime score (increased risk); Crowd density (decreased risk)
P032,Ketti Valley,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P033,Tribal Research Centre Museum,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P034,Glenmorgan,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P035,Wenlock Downs,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P036,Kamraj Sagar Dam,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P037,Needle View Point,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
