tourist_id,n_visits,n_unique_clusters,n_restricted_visits,restricted_ratio,avg_dwell_minutes,total_distance_km,avg_distance_per_hop_km,revisit_ratio,is_suspicious_ground_truth,is_flagged_suspicious,anomaly_score
T00001,12,3,0,0.0,61.8,108.43,9.04,0.167,False,False,0.1079
T00002,13,3,0,0.0,55.8,171.32,13.18,0.077,False,False,0.1014
T00003,15,4,0,0.0,53.1,167.26,11.15,0.133,False,False,0.1238
T00004,14,4,0,0.0,58.2,170.06,12.15,0.071,False,False,0.1147
T00005,13,3,0,0.0,63.8,161.17,12.4,0.154,False,False,0.0998
T00006,10,3,0,0.0,52.4,83.61,8.36,0.3,False,False,0.0273
T00007,12,4,0,0.0,53.6,163.54,13.63,0.25,False,False,0.0935
T00008,12,4,0,0.0,65.8,128.21,10.68,0.167,False,False,0.0873
T00009,10,3,0,0.0,55.8,77.36,7.74,0.1,False,False,0.0473
T00010,12,3,2,0.167,50.4,145.41,12.12,0.25,True,True,-0.1284
T00011,14,2,0,0.0,45.1,114.32,8.17,0.214,False,False,0.0284
T00012,15,3,0,0.0,50.6,122.8,8.19,0.067,False,False,0.0927
T00013,16,2,0,0.0,56.6,126.28,7.89,0.125,False,False,0.0375
T00014,14,3,0,0.0,47.6,102.32,7.31,0.143,False,False,0.0806
T00015,18,5,0,0.0,56.8,214.36,11.91,0.167,False,True,-0.0074
T00016,14,3,0,0.0,53.4,126.47,9.03,0.143,False,False,0.1335
T00017,15,4,0,0.0,65.7,154.57,10.3,0.333,False,False,0.0377
T00018,15,5,0,0.0,49.3,147.85,9.86,0.0,False,False,0.0259
T00019,14,3,0,0.0,67.0,132.77,9.48,0.143,False,False,0.0715
T00020,11,3,0,0.0,59.7,112.28,10.21,0.091,False,False,0.1016
T00021,14,4,0,0.0,65.2,152.31,10.88,0.071,False,False,0.0937
T00022,18,3,0,0.0,50.7,122.8,6.82,0.389,False,True,-0.0407
T00023,14,3,0,0.0,60.0,118.95,8.5,0.214,False,False,0.1213
T00024,17,4,0,0.0,56.5,157.67,9.27,0.176,False,False,0.0941
T00025,14,3,0,0.0,48.2,119.6,8.54,0.214,False,False,0.1076
T00026,14,4,0,0.0,65.3,190.25,13.59,0.214,False,False,0.063
T00027,16,3,0,0.0,59.9,133.8,8.36,0.25,False,False,0.0934
T00028,16,5,0,0.0,44.0,188.77,11.8,0.062,False,False,0.0034
T00029,17,4,0,0.0,57.3,221.45,13.03,0.176,False,False,0.049
T00030,13,3,0,0.0,61.9,163.72,12.59,0.231,False,False,0.1003
T00031,14,2,0,0.0,59.4,112.79,8.06,0.143,False,False,0.067
T00032,12,4,0,0.0,59.1,141.27,11.77,0.167,False,False,0.1189
T00033,13,3,0,0.0,44.5,116.22,8.94,0.231,False,False,0.0747
T00034,14,3,0,0.0,59.9,114.46,8.18,0.143,False,False,0.116
T00035,13,3,0,0.0,57.8,147.46,11.34,0.154,False,False,0.1304
T00036,14,4,0,0.0,57.6,140.39,10.03,0.286,False,False,0.1135
T00037,14,3,0,0.0,58.5,121.38,8.67,0.0,False,False,0.0972
T00038,16,4,0,0.0,60.8,142.64,8.91,0.125,False,False,0.1044
T00039,13,4,0,0.0,50.1,158.13,12.16,0.077,False,False,0.1108
T00040,13,6,2,0.154,55.6,179.64,13.82,0.077,True,True,-0.1418
T00041,16,4,0,0.0,52.8,139.47,8.72,0.062,False,False,0.094
T00042,13,3,0,0.0,57.1,139.92,10.76,0.154,False,False,0.1374
T00043,14,4,0,0.0,59.8,175.31,12.52,0.0,False,False,0.0832
T00044,14,3,1,0.071,53.2,157.56,11.25,0.071,True,True,-0.049
T00045,13,6,1,0.077,62.9,169.82,13.06,0.154,True,True,-0.1122
T00046,11,4,0,0.0,53.3,137.93,12.54,0.0,False,False,0.0746
T00047,17,3,0,0.0,59.4,133.87,7.87,0.235,False,False,0.0703
T00048,15,3,0,0.0,49.6,140.98,9.4,0.2,False,False,0.112
T00049,14,4,0,0.0,52.6,219.15,15.65,0.214,False,False,0.0133
T00050,14,4,0,0.0,58.8,173.16,12.37,0.143,False,False,0.1205
T00051,13,3,0,0.0,52.2,129.7,9.98,0.385,False,False,0.0596
T00052,15,6,0,0.0,55.3,191.27,12.75,0.0,False,True,-0.0156
T00053,15,3,0,0.0,60.0,134.52,8.97,0.2,False,False,0.1229
T00054,13,5,0,0.0,63.2,101.5,7.81,0.231,False,False,0.0216
T00055,14,4,0,0.0,60.4,152.84,10.92,0.143,False,False,0.1303
