tourist_id,n_visits,restricted_entries,alternation_count,alternation_ratio,most_common_bigram_freq,unique_bigram_ratio,is_suspicious_ground_truth
T00001,12,0,0,0.0,1,1.0,False
T00002,13,0,0,0.0,1,1.0,False
T00003,15,0,0,0.0,2,0.929,False
T00004,14,0,0,0.0,1,1.0,False
T00005,13,0,0,0.0,1,1.0,False
T00006,10,0,0,0.0,1,1.0,False
T00007,12,0,0,0.0,1,1.0,False
T00008,12,0,0,0.0,1,1.0,False
T00009,10,0,0,0.0,1,1.0,False
T00010,12,2,3,0.273,1,1.0,True
T00011,14,0,0,0.0,1,1.0,False
T00012,15,0,0,0.0,1,1.0,False
T00013,16,0,0,0.0,1,1.0,False
T00014,14,0,0,0.0,1,1.0,False
T00015,18,0,0,0.0,1,1.0,False
T00016,14,0,0,0.0,1,1.0,False
T00017,15,0,0,0.0,1,1.0,False
T00018,15,0,0,0.0,1,1.0,False
T00019,14,0,0,0.0,1,1.0,False
T00020,11,0,0,0.0,1,1.0,False
T00021,14,0,0,0.0,1,1.0,False
T00022,18,0,0,0.0,2,0.941,False
T00023,14,0,0,0.0,1,1.0,False
T00024,17,0,0,0.0,1,1.0,False
T00025,14,0,0,0.0,1,1.0,False
T00026,14,0,0,0.0,2,0.923,False
T00027,16,0,0,0.0,2,0.933,False
T00028,16,0,0,0.0,1,1.0,False
T00029,17,0,0,0.0,1,1.0,False
T00030,13,0,0,0.0,1,1.0,False
T00031,14,0,0,0.0,1,1.0,False
T00032,12,0,0,0.0,1,1.0,False
T00033,13,0,0,0.0,1,1.0,False
T00034,14,0,0,0.0,1,1.0,False
T00035,13,0,0,0.0,1,1.0,False
T00036,14,0,0,0.0,1,1.0,False
T00037,14,0,0,0.0,1,1.0,False
T00038,16,0,0,0.0,1,1.0,False
T00039,13,0,0,0.0,1,1.0,False
T00040,13,2,3,0.25,1,1.0,True
T00041,16,0,0,0.0,1,1.0,False
T00042,13,0,0,0.0,1,1.0,False
T00043,14,0,0,0.0,1,1.0,False
T00044,14,1,2,0.154,1,1.0,True
T00045,13,1,1,0.083,1,1.0,True
T00046,11,0,0,0.0,1,1.0,False
T00047,17,0,0,0.0,1,1.0,False
T00048,15,0,0,0.0,2,0.929,False
T00049,14,0,0,0.0,1,1.0,False
T00050,14,0,0,0.0,1,1.0,False
T00051,13,0,0,0.0,2,0.917,False
T00052,15,0,0,0.0,1,1.0,False
T00053,15,0,0,0.0,1,1.0,False
T00054,13,0,0,0.0,1,1.0,False
T00055,14,0,0,0.0,1,1.0,False
T00056,16,0,0,0.0,1,1.0,False
T00057,12,0,0,0.0,1,1.0,False
T00058,11,0,0,0.0,1,1.0,False
T00059,13,0,0,0.0,1,1.0,False
T00060,14,0,0,0.0,1,1.0,False
T00061,13,0,0,0.0,1,1.0,False
T00062,13,0,0,0.0,1,1.0,False
T00063,11,0,0,0.0,1,1.0,False
T00064,14,0,0,0.0,1,1.0,False
T00065,12,0,0,0.0,1,1.0,False
T00066,14,0,0,0.0,1,1.0,False
T00067,13,0,0,0.0,2,0.917,False
T00068,15,0,0,0.0,1,1.0,False
T00069,11,0,0,0.0,1,1.0,False
T00070,12,0,0,0.0,1,1.0,False
T00071,12,0,0,0.0,1,1.0,False
T00072,13,0,0,0.0,1,1.0,False
T00073,15,0,0,0.0,1,1.0,False
T00074,14,0,0,0.0,1,1.0,False
T00075,18,0,0,0.0,1,1.0,False
T00076,13,0,0,0.0,1,1.0,False
T00077,13,0,0,0.0,1,1.0,False
T00078,15,0,0,0.0,1,1.0,False
T00079,13,0,0,0.0,1,1.0,False
T00080,13,0,0,0.0,1,1.0,False
T00081,16,0,0,0.0,1,1.0,False
T00082,16,0,0,0.0,2,0.933,False
T00083,14,0,0,0.0,1,1.0,False
T00084,14,0,0,0.0,1,1.0,False
T00085,13,0,0,0.0,1,1.0,False
T00086,13,0,0,0.0,1,1.0,False
T00087,14,0,0,0.0,1,1.0,False
T00088,11,0,0,0.0,1,1.0,False
T00089,12,0,0,0.0,2,0.909,False
T00090,10,0,0,0.0,1,1.0,False
T00091,11,0,0,0.0,1,1.0,False
T00092,18,0,0,0.0,1,1.0,False
T00093,15,2,4,0.286,1,1.0,True
T00094,11,1,2,0.2,1,1.0,True
T00095,14,0,0,0.0,2,0.923,False
T00096,14,0,0,0.0,1,1.0,False
T00097,15,0,0,0.0,1,1.0,False
T00098,9,0,0,0.0,1,1.0,False
T00099,13,0,0,0.0,1,1.0,False
T00100,15,0,0,0.0,1,1.0,False
T00101,14,0,0,0.0,1,1.0,False
T00102,15,0,0,0.0,1,1.0,False
T00103,11,3,6,0.6,2,0.9,True
T00104,15,0,0,0.0,1,1.0,False
T00105,15,0,0,0.0,1,1.0,False
T00106,12,0,0,0.0,1,1.0,False
T00107,14,0,0,0.0,1,1.0,False
T00108,11,0,0,0.0,1,1.0,False
T00109,17,0,0,0.0,1,1.0,False
T00110,14,0,0,0.0,1,1.0,False
T00111,16,0,0,0.0,1,1.0,False
T00112,13,0,0,0.0,1,1.0,False
T00113,13,0,0,0.0,1,1.0,False
T00114,14,0,0,0.0,1,1.0,False
T00115,12,0,0,0.0,1,1.0,False
T00116,11,0,0,0.0,1,1.0,False
T00117,13,0,0,0.0,1,1.0,False
T00118,16,0,0,0.0,1,1.0,False
T00119,14,0,0,0.0,1,1.0,False
T00120,14,0,0,0.0,1,1.0,False
T00121,12,0,0,0.0,1,1.0,False
T00122,15,0,0,0.0,1,1.0,False
T00123,12,0,0,0.0,1,1.0,False
T00124,16,0,0,0.0,2,0.933,False
T00125,14,0,0,0.0,1,1.0,False
T00126,17,0,0,0.0,1,1.0,False
T00127,14,0,0,0.0,1,1.0,False
T00128,14,0,0,0.0,1,1.0,False
T00129,13,0,0,0.0,2,0.917,False
T00130,11,0,0,0.0,1,1.0,False
T00131,14,0,0,0.0,1,1.0,False
T00132,15,0,0,0.0,1,1.0,False
T00133,16,0,0,0.0,1,1.0,False
T00134,13,0,0,0.0,1,1.0,False
T00135,18,0,0,0.0,1,1.0,False
T00136,14,0,0,0.0,1,1.0,False
T00137,12,0,0,0.0,1,1.0,False
T00138,14,0,0,0.0,1,1.0,False
T00139,15,0,0,0.0,1,1.0,False
T00140,17,0,0,0.0,1,1.0,False
T00141,14,0,0,0.0,1,1.0,False
T00142,10,0,0,0.0,1,1.0,True
T00143,15,0,0,0.0,1,1.0,False
T00144,13,0,0,0.0,1,1.0,False
T00145,14,0,0,0.0,1,1.0,False
T00146,16,0,0,0.0,1,1.0,False
