place_id,name,type,crime_score
P001,Ooty Town Centre,urban,2.7
P002,Ooty Lake,lake,5.2
P003,Government Botanical Garden,garden,3.6
P004,Doddabetta Peak,peak,4.1
P005,Government Rose Garden,garden,3.2
P006,Wax World Museum,museum,2.2
P007,Tea Factory and Museum,museum,2.7
P008,Pykara Falls,waterfall,3.7
P009,Pykara Lake,lake,5.4
P010,Pykara Dam,dam,1.9
P011,Avalanche Lake,lake,4.2
P012,Emerald Lake,lake,5.2
P013,Sim's Park,garden,3.5
P014,Dolphin's Nose,viewpoint,4.2
P015,Lamb's Rock,viewpoint,2.8
P016,Catherine Falls Coonoor side,waterfall,4.2
P017,Kateri Falls,waterfall,5.2
P018,Kodanad Viewpoint,viewpoint,3.5
P019,Longwood Shola,forest,1.6
P020,Rangaswamy Peak,peak,2.5
P021,Elk Falls,waterfall,4.2
P022,Theppakadu Reception Centre,wildlife,5.1
P023,Mudumalai Core Safari Zone,wildlife,4.8
P024,Masinagudi Town,urban,1.5
P025,Mukurthi National Park,wildlife,3.9
P026,Upper Bhavani Lake,lake,5.1
P027,Gudalur Town,urban,2.3
P028,Bellikkal,village,1.3
P029,Kalhatty Falls,waterfall,4.9
P030,Bison Valley,forest,1.8
P031,Law's Falls,waterfall,5.1
P032,Ketti Valley,village,0.9
P033,Tribal Research Centre Museum,museum,2.5
P034,Glenmorgan,viewpoint,4.5
P035,Wenlock Downs,grassland,2.0
P036,Kamraj Sagar Dam,dam,2.7
P037,Needle View Point,viewpoint,4.5
P038,Deer Park,garden,5.5
P039,Thread Garden,museum,3.7
P040,Thunder World,attraction,2.1
P041,St. Stephen's Church,heritage,2.1
P042,Wellington,urban,1.7
P043,Aruvankadu,urban,1.5
P044,Burliar,village,1.1
P045,Bandishola,village,1.1
P046,Aracode,village,1.0
P047,Kairbetta,village,1.1
P048,Kengarai,village,1.2
P049,Devarshola,village,1.0
P050,Nellakotta,village,1.1
P051,Padanthorai,village,1.3
P052,Cherangodu,village,1.0
P053,Pandalur,urban,2.4
P054,Bokkapuram,village,1.4
P055,Moyar River Crossing,forest,1.8
P056,Sigur Plateau,forest,1.6
P057,Fernhill,urban,2.5
P058,Lovedale,urban,2.5
P059,Coonoor Town Centre,urban,1.6
P060,Kotagiri Town Centre,urban,2.2
