place_id,name,season,hour_bucket,crowd_density_score
P001,Ooty Town Centre,peak,06-09,11.8
P001,Ooty Town Centre,peak,09-12,35.0
P001,Ooty Town Centre,peak,12-15,43.2
P001,Ooty Town Centre,peak,15-18,30.0
P001,Ooty Town Centre,peak,18-21,15.7
P001,Ooty Town Centre,off,06-09,5.6
P001,Ooty Town Centre,off,09-12,21.3
P001,Ooty Town Centre,off,12-15,23.2
P001,Ooty Town Centre,off,15-18,18.3
P001,Ooty Town Centre,off,18-21,9.3
P002,Ooty Lake,peak,06-09,30.9
P002,Ooty Lake,peak,09-12,100
P002,Ooty Lake,peak,12-15,100
P002,Ooty Lake,peak,15-18,95.4
P002,Ooty Lake,peak,18-21,46.3
P002,Ooty Lake,off,06-09,18.4
P002,Ooty Lake,off,09-12,57.2
P002,Ooty Lake,off,12-15,63.5
P002,Ooty Lake,off,15-18,57.1
P002,Ooty Lake,off,18-21,24.0
P003,Government Botanical Garden,peak,06-09,31.5
P003,Government Botanical Garden,peak,09-12,85.8
P003,Government Botanical Garden,peak,12-15,95.7
P003,Government Botanical Garden,peak,15-18,94.3
P003,Government Botanical Garden,peak,18-21,45.2
P003,Government Botanical Garden,off,06-09,19.1
P003,Government Botanical Garden,off,09-12,59.2
P003,Government Botanical Garden,off,12-15,61.7
P003,Government Botanical Garden,off,15-18,55.8
P003,Government Botanical Garden,off,18-21,22.1
P004,Doddabetta Peak,peak,06-09,27.3
P004,Doddabetta Peak,peak,09-12,79.1
P004,Doddabetta Peak,peak,12-15,95.8
P004,Doddabetta Peak,peak,15-18,73.6
P004,Doddabetta Peak,peak,18-21,39.9
P004,Doddabetta Peak,off,06-09,15.9
P004,Doddabetta Peak,off,09-12,44.3
P004,Doddabetta Peak,off,12-15,45.8
P004,Doddabetta Peak,off,15-18,44.6
P004,Doddabetta Peak,off,18-21,21.9
P005,Government Rose Garden,peak,06-09,36.6
P005,Government Rose Garden,peak,09-12,100
P005,Government Rose Garden,peak,12-15,100
P005,Government Rose Garden,peak,15-18,83.7
P005,Government Rose Garden,peak,18-21,41.0
P005,Government Rose Garden,off,06-09,17.4
P005,Government Rose Garden,off,09-12,50.2
P005,Government Rose Garden,off,12-15,54.8
P005,Government Rose Garden,off,15-18,48.0
P005,Government Rose Garden,off,18-21,23.4
P006,Wax World Museum,peak,06-09,25.9
P006,Wax World Museum,peak,09-12,72.2
P006,Wax World Museum,peak,12-15,74.8
P006,Wax World Museum,peak,15-18,71.9
P006,Wax World Museum,peak,18-21,32.1
P006,Wax World Museum,off,06-09,13.7
P006,Wax World Museum,off,09-12,42.7
P006,Wax World Museum,off,12-15,40.3
P006,Wax World Museum,off,15-18,33.9
P006,Wax World Museum,off,18-21,16.9
P007,Tea Factory and Museum,peak,06-09,25.9
P007,Tea Factory and Museum,peak,09-12,70.4
P007,Tea Factory and Museum,peak,12-15,83.0
P007,Tea Factory and Museum,peak,15-18,69.6
P007,Tea Factory and Museum,peak,18-21,30.7
P007,Tea Factory and Museum,off,06-09,13.6
P007,Tea Factory and Museum,off,09-12,35.5
P007,Tea Factory and Museum,off,12-15,45.4
P007,Tea Factory and Museum,off,15-18,35.2
P007,Tea Factory and Museum,off,18-21,16.8
P008,Pykara Falls,peak,06-09,31.1
P008,Pykara Falls,peak,09-12,90.0
P008,Pykara Falls,peak,12-15,100
P008,Pykara Falls,peak,15-18,85.0
P008,Pykara Falls,peak,18-21,46.3
P008,Pykara Falls,off,06-09,14.9
P008,Pykara Falls,off,09-12,46.1
P008,Pykara Falls,off,12-15,55.1
P008,Pykara Falls,off,15-18,52.6
P008,Pykara Falls,off,18-21,24.0
P009,Pykara Lake,peak,06-09,38.4
P009,Pykara Lake,peak,09-12,97.3
P009,Pykara Lake,peak,12-15,100
P009,Pykara Lake,peak,15-18,100
P009,Pykara Lake,peak,18-21,40.0
P009,Pykara Lake,off,06-09,16.4
P009,Pykara Lake,off,09-12,53.0
P009,Pykara Lake,off,12-15,59.8
P009,Pykara Lake,off,15-18,51.4
P009,Pykara Lake,off,18-21,28.9
P010,Pykara Dam,peak,06-09,19.8
P010,Pykara Dam,peak,09-12,55.2
P010,Pykara Dam,peak,12-15,68.7
P010,Pykara Dam,peak,15-18,53.9
P010,Pykara Dam,peak,18-21,29.1
P010,Pykara Dam,off,06-09,11.8
P010,Pykara Dam,off,09-12,34.8
P010,Pykara Dam,off,12-15,30.9
P010,Pykara Dam,off,15-18,29.1
P010,Pykara Dam,off,18-21,12.7
P011,Avalanche Lake,peak,06-09,10.7
P011,Avalanche Lake,peak,09-12,34.3
P011,Avalanche Lake,peak,12-15,36.8
P011,Avalanche Lake,peak,15-18,29.7
P011,Avalanche Lake,peak,18-21,12.6
P011,Avalanche Lake,off,06-09,5.4
P011,Avalanche Lake,off,09-12,15.6
P011,Avalanche Lake,off,12-15,21.2
P011,Avalanche Lake,off,15-18,18.1
P011,Avalanche Lake,off,18-21,8.2
P012,Emerald Lake,peak,06-09,10.3
P012,Emerald Lake,peak,09-12,29.3
P012,Emerald Lake,peak,12-15,37.6
P012,Emerald Lake,peak,15-18,25.5
P012,Emerald Lake,peak,18-21,13.2
P012,Emerald Lake,off,06-09,6.2
P012,Emerald Lake,off,09-12,19.1
P012,Emerald Lake,off,12-15,21.7
P012,Emerald Lake,off,15-18,16.0
P012,Emerald Lake,off,18-21,8.0
P013,Sim's Park,peak,06-09,32.1
P013,Sim's Park,peak,09-12,90.4
P013,Sim's Park,peak,12-15,96.0
P013,Sim's Park,peak,15-18,87.8
P013,Sim's Park,peak,18-21,42.4
P013,Sim's Park,off,06-09,15.8
P013,Sim's Park,off,09-12,55.6
P013,Sim's Park,off,12-15,55.5
P013,Sim's Park,off,15-18,50.5
P013,Sim's Park,off,18-21,26.9
P014,Dolphin's Nose,peak,06-09,32.1
P014,Dolphin's Nose,peak,09-12,76.1
P014,Dolphin's Nose,peak,12-15,91.2
P014,Dolphin's Nose,peak,15-18,79.5
P014,Dolphin's Nose,peak,18-21,39.7
P014,Dolphin's Nose,off,06-09,17.1
P014,Dolphin's Nose,off,09-12,45.2
P014,Dolphin's Nose,off,12-15,54.4
P014,Dolphin's Nose,off,15-18,42.4
P014,Dolphin's Nose,off,18-21,23.1
P015,Lamb's Rock,peak,06-09,33.0
P015,Lamb's Rock,peak,09-12,95.7
P015,Lamb's Rock,peak,12-15,100
P015,Lamb's Rock,peak,15-18,81.0
P015,Lamb's Rock,peak,18-21,39.7
P015,Lamb's Rock,off,06-09,18.0
P015,Lamb's Rock,off,09-12,43.2
P015,Lamb's Rock,off,12-15,50.5
P015,Lamb's Rock,off,15-18,50.9
P015,Lamb's Rock,off,18-21,22.0
P016,Catherine Falls Coonoor side,peak,06-09,33.1
P016,Catherine Falls Coonoor side,peak,09-12,100
P016,Catherine Falls Coonoor side,peak,12-15,100
P016,Catherine Falls Coonoor side,peak,15-18,88.6
P016,Catherine Falls Coonoor side,peak,18-21,42.4
P016,Catherine Falls Coonoor side,off,06-09,18.2
P016,Catherine Falls Coonoor side,off,09-12,48.2
P016,Catherine Falls Coonoor side,off,12-15,47.7
P016,Catherine Falls Coonoor side,off,15-18,54.6
P016,Catherine Falls Coonoor side,off,18-21,24.0
P017,Kateri Falls,peak,06-09,27.4
P017,Kateri Falls,peak,09-12,93.7
P017,Kateri Falls,peak,12-15,100
P017,Kateri Falls,peak,15-18,76.5
P017,Kateri Falls,peak,18-21,37.9
P017,Kateri Falls,off,06-09,16.7
P017,Kateri Falls,off,09-12,48.4
P017,Kateri Falls,off,12-15,53.1
P017,Kateri Falls,off,15-18,47.2
P017,Kateri Falls,off,18-21,21.2
P018,Kodanad Viewpoint,peak,06-09,26.3
P018,Kodanad Viewpoint,peak,09-12,91.1
P018,Kodanad Viewpoint,peak,12-15,99.8
P018,Kodanad Viewpoint,peak,15-18,84.9
P018,Kodanad Viewpoint,peak,18-21,35.8
P018,Kodanad Viewpoint,off,06-09,16.0
