tourist_id,day,sequence_num,place_id,place_name,cluster,restricted,arrival_time,dwell_minutes,distance_from_prev_km,is_suspicious_tourist
T00001,1,1,P004,Doddabetta Peak,Ooty,False,2026-04-15T08:36:00,37,14.45,False
T00001,1,2,P017,Kateri Falls,Coonoor,False,2026-04-15T09:41:00,89,11.21,False
T00001,1,3,P014,Dolphin's Nose,Coonoor,False,2026-04-15T11:25:00,74,6.23,False
T00001,1,4,P013,Sim's Park,Coonoor,False,2026-04-15T12:49:00,31,3.62,False
T00001,1,5,P017,Kateri Falls,Coonoor,False,2026-04-15T13:30:00,84,3.81,False
T00001,2,6,P033,Tribal Research Centre Museum,Ooty,False,2026-04-15T16:21:00,89,13.31,False
T00001,2,7,P038,Deer Park,Ooty,False,2026-04-15T18:00:00,77,2.99,False
T00001,2,8,P008,Pykara Falls,Pykara,False,2026-04-15T19:41:00,20,9.97,False
T00001,3,9,P036,Kamraj Sagar Dam,Ooty,False,2026-04-15T21:19:00,63,14.71,False
T00001,3,10,P028,Bellikkal,Ooty,False,2026-04-15T22:52:00,47,12.04,False
T00001,3,11,P045,Bandishola,Coonoor,False,2026-04-16T00:05:00,63,10.53,False
T00001,3,12,P014,Dolphin's Nose,Coonoor,False,2026-04-16T01:21:00,68,5.56,False
T00002,1,13,P039,Thread Garden,Ooty,False,2026-04-15T08:56:00,78,22.5,False
T00002,1,14,P041,St. Stephen's Church,Ooty,False,2026-04-15T10:24:00,68,0.56,False
T00002,1,15,P003,Government Botanical Garden,Ooty,False,2026-04-15T11:42:00,57,1.76,False
T00002,1,16,P022,Theppakadu Reception Centre,Mudumalai,False,2026-04-15T13:35:00,66,22.68,False
T00002,1,17,P032,Ketti Valley,Ooty,False,2026-04-15T15:51:00,28,28.26,False
T00002,2,18,P033,Tribal Research Centre Museum,Ooty,False,2026-04-15T18:16:00,57,19.55,False
T00002,2,19,P059,Coonoor Town Centre,Coonoor,False,2026-04-15T19:51:00,49,15.46,False
T00002,2,20,P038,Deer Park,Ooty,False,2026-04-15T21:12:00,68,13.07,False
T00002,3,21,P005,Government Rose Garden,Ooty,False,2026-04-16T00:12:00,66,22.72,False
T00002,3,22,P006,Wax World Museum,Ooty,False,2026-04-16T01:28:00,65,0.76,False
T00002,3,23,P007,Tea Factory and Museum,Ooty,False,2026-04-16T02:43:00,54,2.25,False
T00002,3,24,P015,Lamb's Rock,Coonoor,False,2026-04-16T04:01:00,29,9.91,False
T00002,3,25,P006,Wax World Museum,Ooty,False,2026-04-16T04:59:00,41,11.84,False
T00003,1,26,P006,Wax World Museum,Ooty,False,2026-04-15T08:31:00,48,12.42,False
T00003,1,27,P015,Lamb's Rock,Coonoor,False,2026-04-15T09:48:00,27,11.84,False
T00003,1,28,P017,Kateri Falls,Coonoor,False,2026-04-15T10:29:00,24,5.64,False
T00003,1,29,P033,Tribal Research Centre Museum,Ooty,False,2026-04-15T11:38:00,71,18.11,False
T00003,1,30,P007,Tea Factory and Museum,Ooty,False,2026-04-15T13:03:00,47,5.81,False
T00003,1,31,P037,Needle View Point,Pykara,False,2026-04-15T14:22:00,60,13.14,False
T00003,2,32,P036,Kamraj Sagar Dam,Ooty,False,2026-04-15T16:37:00,70,14.71,False
T00003,2,33,P031,Law's Falls,Coonoor,False,2026-04-15T18:40:00,78,21.3,False
T00003,2,34,P015,Lamb's Rock,Coonoor,False,2026-04-15T20:08:00,37,2.78,False
T00003,2,35,P017,Kateri Falls,Coonoor,False,2026-04-15T20:59:00,88,5.64,False
T00003,3,36,P038,Deer Park,Ooty,False,2026-04-15T23:49:00,74,11.31,False
T00003,3,37,P034,Glenmorgan,Pykara,False,2026-04-16T01:34:00,71,12.46,False
T00003,3,38,P001,Ooty Town Centre,Ooty,False,2026-04-16T03:17:00,37,12.87,False
T00003,3,39,P040,Thunder World,Ooty,False,2026-04-16T04:04:00,31,0.44,False
T00003,3,40,P018,Kodanad Viewpoint,Kotagiri,False,2026-04-16T05:21:00,34,18.79,False
T00004,1,41,P033,Tribal Research Centre Museum,Ooty,False,2026-04-15T08:33:00,69,13.31,False
T00004,1,42,P036,Kamraj Sagar Dam,Ooty,False,2026-04-15T09:52:00,79,3.95,False
T00004,1,43,P041,St. Stephen's Church,Ooty,False,2026-04-15T11:27:00,90,6.49,False
T00004,1,44,P030,Bison Valley,Coonoor,False,2026-04-15T13:43:00,21,18.48,False
T00004,1,45,P019,Longwood Shola,Kotagiri,False,2026-04-15T14:43:00,34,15.79,False
T00004,1,46,P029,Kalhatty Falls,Ooty,False,2026-04-15T15:59:00,88,17.13,False
T00004,2,47,P038,Deer Park,Ooty,False,2026-04-15T18:48:00,63,11.31,False
T00004,2,48,P003,Government Botanical Garden,Ooty,False,2026-04-15T20:01:00,75,2.76,False
T00004,2,49,P005,Government Rose Garden,Ooty,False,2026-04-15T21:26:00,20,1.95,False
T00004,2,50,P045,Bandishola,Coonoor,False,2026-04-15T22:13:00,53,10.83,False
T00004,2,51,P057,Fernhill,Ooty,False,2026-04-15T23:39:00,42,13.22,False
T00004,3,52,P040,Thunder World,Ooty,False,2026-04-16T01:21:00,58,12.0,False
T00004,3,53,P022,Theppakadu Reception Centre,Mudumalai,False,2026-04-16T03:16:00,84,23.13,False
T00004,3,54,P033,Tribal Research Centre Museum,Ooty,False,2026-04-16T05:29:00,39,19.71,False
T00005,1,55,P033,Tribal Research Centre Museum,Ooty,False,2026-04-15T08:33:00,82,13.31,False
T00005,1,56,P002,Ooty Lake,Ooty,False,2026-04-15T10:05:00,66,2.8,False
T00005,1,57,P031,Law's Falls,Coonoor,False,2026-04-15T11:48:00,59,15.18,False
T00005,2,58,P002,Ooty Lake,Ooty,False,2026-04-15T14:02:00,30,11.31,False
T00005,2,59,P004,Doddabetta Peak,Ooty,False,2026-04-15T14:45:00,82,5.3,False
T00005,2,60,P021,Elk Falls,Kotagiri,False,2026-04-15T16:37:00,88,12.25,False
T00005,2,61,P035,Wenlock Downs,Ooty,False,2026-04-15T18:56:00,36,20.64,False
T00005,3,62,P057,Fernhill,Ooty,False,2026-04-15T20:36:00,41,12.28,False
T00005,3,63,P007,Tea Factory and Museum,Ooty,False,2026-04-15T21:30:00,74,5.3,False
T00005,3,64,P047,Kairbetta,Kotagiri,False,2026-04-15T23:14:00,89,12.2,False
T00005,3,65,P033,Tribal Research Centre Museum,Ooty,False,2026-04-16T01:22:00,45,15.62,False
T00005,3,66,P016,Catherine Falls Coonoor side,Coonoor,False,2026-04-16T02:47:00,71,16.13,False
T00005,3,67,P060,Kotagiri Town Centre,Kotagiri,False,2026-04-16T04:45:00,67,18.85,False
T00006,1,68,P017,Kateri Falls,Coonoor,False,2026-04-15T08:10:00,28,3.82,False
T00006,1,69,P031,Law's Falls,Coonoor,False,2026-04-15T08:48:00,90,3.11,False
T00006,1,70,P016,Catherine Falls Coonoor side,Coonoor,False,2026-04-15T10:34:00,48,6.51,False
T00006,2,71,P014,Dolphin's Nose,Coonoor,False,2026-04-15T11:46:00,27,2.79,False
T00006,2,72,P017,Kateri Falls,Coonoor,False,2026-04-15T12:28:00,24,6.23,False
T00006,2,73,P038,Deer Park,Ooty,False,2026-04-15T13:32:00,29,16.06,False
T00006,3,74,P017,Kateri Falls,Coonoor,False,2026-04-15T14:45:00,82,3.82,False
T00006,3,75,P016,Catherine Falls Coonoor side,Coonoor,False,2026-04-15T16:30:00,36,9.57,False
T00006,3,76,P021,Elk Falls,Kotagiri,False,2026-04-15T17:44:00,80,15.54,False
T00006,3,77,P001,Ooty Town Centre,Ooty,False,2026-04-15T19:44:00,80,16.16,False
T00007,1,78,P036,Kamraj Sagar Dam,Ooty,False,2026-04-15T08:36:00,65,14.71,False
T00007,1,79,P038,Deer Park,Ooty,False,2026-04-15T09:57:00,79,6.64,False
T00007,1,80,P031,Law's Falls,Coonoor,False,2026-04-15T11:53:00,26,14.95,False
T00007,2,81,P002,Ooty Lake,Ooty,False,2026-04-15T13:34:00,63,11.31,False
T00007,2,82,P021,Elk Falls,Kotagiri,False,2026-04-15T15:20:00,33,17.47,False
T00007,2,83,P002,Ooty Lake,Ooty,False,2026-04-15T16:36:00,44,17.47,False
T00007,3,84,P003,Government Botanical Garden,Ooty,False,2026-04-15T18:22:00,43,13.86,False
T00007,3,85,P029,Kalhatty Falls,Ooty,False,2026-04-15T19:26:00,51,8.49,False
T00007,3,86,P031,Law's Falls,Coonoor,False,2026-04-15T21:07:00,29,20.11,False
T00007,3,87,P001,Ooty Town Centre,Ooty,False,2026-04-15T22:11:00,90,14.3,False
T00007,3,88,P003,Government Botanical Garden,Ooty,False,2026-04-15T23:51:00,89,1.55,False
T00007,3,89,P022,Theppakadu Reception Centre,Mudumalai,False,2026-04-16T02:16:00,31,22.68,False
T00008,1,90,P005,Government Rose Garden,Ooty,False,2026-04-15T08:56:00,81,22.72,False
T00008,1,91,P007,Tea Factory and Museum,Ooty,False,2026-04-15T10:27:00,71,2.99,False
T00008,1,92,P034,Glenmorgan,Pykara,False,2026-04-15T12:16:00,41,15.56,False
T00008,1,93,P002,Ooty Lake,Ooty,False,2026-04-15T13:27:00,69,12.23,False
T00008,2,94,P051,Padanthorai,Gudalur,False,2026-04-15T16:22:00,78,20.56,False
T00008,2,95,P050,Nellakotta,Gudalur,False,2026-04-15T17:55:00,82,6.39,False
T00008,2,96,P027,Gudalur Town,Gudalur,False,2026-04-15T19:27:00,57,1.98,False
T00008,2,97,P051,Padanthorai,Gudalur,False,2026-04-15T20:35:00,27,4.41,False
T00008,2,98,P022,Theppakadu Reception Centre,Mudumalai,False,2026-04-15T21:45:00,89,17.45,False
T00008,3,99,P038,Deer Park,Ooty,False,2026-04-16T00:20:00,27,22.54,False
T00008,3,100,P002,Ooty Lake,Ooty,False,2026-04-16T00:57:00,81,0.23,False
T00008,3,101,P041,St. Stephen's Church,Ooty,False,2026-04-16T02:28:00,87,1.15,False
T00009,1,102,P038,Deer Park,Ooty,False,2026-04-15T08:25:00,28,10.24,False
T00009,1,103,P009,Pykara Lake,Pykara,False,2026-04-15T09:16:00,50,9.34,False
T00009,1,104,P002,Ooty Lake,Ooty,False,2026-04-15T10:28:00,51,9.12,False
T00009,2,105,P006,Wax World Museum,Ooty,False,2026-04-15T12:12:00,73,11.33,False
T00009,2,106,P013,Sim's Park,Coonoor,False,2026-04-15T13:54:00,86,11.65,False
T00009,2,107,P031,Law's Falls,Coonoor,False,2026-04-15T15:30:00,53,2.03,False
T00009,3,108,P007,Tea Factory and Museum,Ooty,False,2026-04-15T17:58:00,60,13.42,False
T00009,3,109,P006,Wax World Museum,Ooty,False,2026-04-15T19:08:00,70,2.25,False
T00009,3,110,P004,Doddabetta Peak,Ooty,False,2026-04-15T20:28:00,58,3.5,False
T00009,3,111,P039,Thread Garden,Ooty,False,2026-04-15T21:37:00,29,4.48,False
T00010,1,112,P027,Gudalur Town,Gudalur,False,2026-04-15T08:10:00,47,2.86,True
T00010,1,113,P022,Theppakadu Reception Centre,Mudumalai,False,2026-04-15T09:29:00,36,13.11,True
T00010,1,114,P051,Padanthorai,Gudalur,False,2026-04-15T10:48:00,28,17.45,True
T00010,2,115,P053,Pandalur,Gudalur,False,2026-04-15T11:48:00,40,8.31,True
T00010,2,116,P022,Theppakadu Reception Centre,Mudumalai,False,2026-04-15T13:04:00,89,14.58,True
T00010,2,117,P035,Wenlock Downs,Ooty,False,2026-04-15T15:17:00,87,17.65,True
T00010,2,118,P001,Ooty Town Centre,Ooty,False,2026-04-15T16:57:00,90,5.49,True
T00010,3,119,P055,Moyar River Crossing,Mudumalai,True,2026-04-15T20:14:00,33,16.28,True
T00010,3,120,P052,Cherangodu,Gudalur,False,2026-04-15T21:23:00,37,14.79,True
T00010,3,121,P051,Padanthorai,Gudalur,False,2026-04-15T22:15:00,33,6.23,True
T00010,3,122,P024,Masinagudi Town,Mudumalai,False,2026-04-15T23:43:00,39,22.39,True
T00010,3,123,P055,Moyar River Crossing,Mudumalai,True,2026-04-16T00:37:00,46,6.27,True
T00011,1,124,P029,Kalhatty Falls,Ooty,False,2026-04-15T08:53:00,52,21.45,False
T00011,1,125,P034,Glenmorgan,Pykara,False,2026-04-15T10:13:00,26,11.5,False
T00011,1,126,P008,Pykara Falls,Pykara,False,2026-04-15T10:49:00,74,2.49,False
T00011,1,127,P038,Deer Park,Ooty,False,2026-04-15T12:27:00,25,9.97,False
T00011,1,128,P001,Ooty Town Centre,Ooty,False,2026-04-15T13:02:00,36,1.22,False
T00011,2,129,P003,Government Botanical Garden,Ooty,False,2026-04-15T14:42:00,76,13.86,False
T00011,2,130,P058,Lovedale,Ooty,False,2026-04-15T16:10:00,74,4.94,False
T00011,2,131,P041,St. Stephen's Church,Ooty,False,2026-04-15T17:34:00,34,3.18,False
T00011,2,132,P003,Government Botanical Garden,Ooty,False,2026-04-15T18:18:00,39,1.76,False
T00011,2,133,P057,Fernhill,Ooty,False,2026-04-15T19:07:00,67,3.39,False
T00011,3,134,P007,Tea Factory and Museum,Ooty,False,2026-04-15T21:17:00,25,13.47,False
T00011,3,135,P033,Tribal Research Centre Museum,Ooty,False,2026-04-15T21:56:00,25,5.81,False
T00011,3,136,P034,Glenmorgan,Pykara,False,2026-04-15T22:45:00,46,9.78,False
T00011,3,137,P029,Kalhatty Falls,Ooty,False,2026-04-15T23:59:00,33,11.5,False
T00012,1,138,P057,Fernhill,Ooty,False,2026-04-15T08:38:00,39,15.55,False
T00012,1,139,P037,Needle View Point,Pykara,False,2026-04-15T09:36:00,50,7.91,False
T00012,1,140,P039,Thread Garden,Ooty,False,2026-04-15T10:51:00,42,10.1,False
T00012,1,141,P031,Law's Falls,Coonoor,False,2026-04-15T12:09:00,23,14.55,False
T00012,1,142,P015,Lamb's Rock,Coonoor,False,2026-04-15T12:42:00,62,2.78,False
